pd_timestamp,relative_timestamp,activity,activity_file,case_id,path
71663,431882,lstat,lstat | mvnw.cmd,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/mvnw.cmd\0"""
71666,431896,lstat,lstat | README.md,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/README.md\0"""
71672,431925,lstat,lstat | config.yml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/_config.yml\0"""
71692,432002,lstat,lstat | compose.yml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/docker-compose.yml\0"""
72230,1544408,lstat,lstat | vcs.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/vcs.xml\0"""
72233,1544422,lstat,lstat | misc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/misc.xml\0"""
72241,1544449,lstat,lstat | kotlinc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/kotlinc.xml\0"""
72244,1544461,lstat,lstat | compiler.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/compiler.xml\0"""
72247,1544473,lstat,lstat | encodings.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/encodings.xml\0"""
72250,1544486,lstat,lstat | workspace.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/workspace.xml\0"""
72253,1544498,lstat,lstat | jarRepositories.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/jarRepositories.xml\0"""
72289,434400,lstat,lstat | pom.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/auth-server/pom.xml\0"""
72292,434412,lstat,lstat | mvnw.cmd,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/auth-server/mvnw.cmd\0"""
72293,1236033,lstat,lstat | pom.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/eureka-server/pom.xml\0"""
72295,959311,lstat,lstat | pom.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/main-service/pom.xml\0"""
72297,1236046,lstat,lstat | mvnw.cmd,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/eureka-server/mvnw.cmd\0"""
72298,959323,lstat,lstat | mvnw.cmd,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/main-service/mvnw.cmd\0"""
72319,1544811,lstat,lstat | pom.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/video-service/pom.xml\0"""
72323,1544824,lstat,lstat | mvnw.cmd,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/video-service/mvnw.cmd\0"""
72332,434573,lstat,lstat | pom.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/gateway-server/pom.xml\0"""
72337,434585,lstat,lstat | mvnw.cmd,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/gateway-server/mvnw.cmd\0"""
83043,88082512,getattrlist,getattrlist | mvnw.cmd,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/mvnw.cmd\0"""
83044,88082526,stat64,stat64 | mvnw.cmd,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/mvnw.cmd\0"""
83045,88082534,access,access | mvnw.cmd,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/mvnw.cmd\0"""
83046,88082540,stat64,stat64 | mvnw.cmd,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/mvnw.cmd\0"""
83047,88082565,getattrlist,getattrlist | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/pom.xml\0"""
83049,88082580,stat64,stat64 | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/pom.xml\0"""
83050,88082587,access,access | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/pom.xml\0"""
83051,88082593,stat64,stat64 | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/pom.xml\0"""
83053,88082617,getattrlist,getattrlist | README.md,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/README.md\0"""
83054,88082632,stat64,stat64 | README.md,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/README.md\0"""
83055,88082639,access,access | README.md,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/README.md\0"""
83056,88082644,stat64,stat64 | README.md,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/README.md\0"""
85189,109113182,lstat,lstat | compose.yml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/docker-compose.yml\0"""
85192,109113243,lstat,lstat | README.md,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/README.md\0"""
85195,109113285,lstat,lstat | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/pom.xml\0"""
85197,109113326,lstat,lstat | config.yml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/_config.yml\0"""
85198,109113342,lstat,lstat | mvnw.cmd,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/mvnw.cmd\0"""
85249,794924,lstat,lstat | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/pom.xml\0"""
85250,794932,lstat,lstat | mvnw.cmd,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/mvnw.cmd\0"""
85251,794941,lstat,lstat | README.md,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/README.md\0"""
85253,794958,lstat,lstat | config.yml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/_config.yml\0"""
85259,795009,lstat,lstat | compose.yml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/docker-compose.yml\0"""
86069,1266465,stat64,stat64 | workspace.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/workspace.xml\0"""
86070,1266513,stat64,stat64 | misc.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/misc.xml\0"""
86116,1267782,stat64,stat64 | modules.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/modules.xml\0"""
