,relative_timestamp,operation,p1,p2,p3
35531,5127500,getattrlist,"""/Users/vakosta/.gradle\0""",0x7FF80D2E01D4,0x700011FA5690
35533,47084,getattrlist,"""/Users/vakosta/.gradle\0""",0x7FF80D2E01D4,0x70001222F330
35534,5127508,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x700011FA5690
35536,47092,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x70001222F330
35537,5127515,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x700011FA5690
35538,47100,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x70001222F330
35542,47524,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x70001222DE90
35543,47534,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x70001222DE90
35544,47538,getattrlist,"""/Users/vakosta/.gradle\0""",0x7FF80D2E01D4,0x70001222DE90
35545,47545,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x70001222DE90
35546,47552,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x70001222DE90
35547,47999,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x70001222E1E0
35548,48010,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x70001222E1E0
35550,48014,getattrlist,"""/Users/vakosta/.gradle\0""",0x7FF80D2E01D4,0x70001222E1E0
35551,48022,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x70001222E1E0
35552,48029,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x70001222E1E0
35671,2216,stat64,"""/Users/vakosta/.m2/repository/org/springframework/spring-web/5.2.15.RELEASE/spring-web-5.2.15.RELEASE.jar\0""",0x700011EA53F0,0x0
35736,2347,stat64,"""/Users/vakosta/.m2/repository/org/springframework/spring-web/5.2.15.RELEASE/spring-web-5.2.15.RELEASE.jar\0""",0x700011EA53F0,0x0
36315,2565,stat64,"""/Users/vakosta/.m2/repository/org/jetbrains/kotlin/kotlin-stdlib/1.4.32/kotlin-stdlib-1.4.32.jar\0""",0x700011EA53F0,0x0
37611,1837956,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x7000128BFA40
37612,1837964,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x7000128BFA40
37613,1837968,getattrlist,"""/Users/vakosta/.gradle\0""",0x7FF80D2E01D4,0x7000128BFA40
37614,1837973,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x7000128BFA40
37615,1837978,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x7000128BFA40
37616,1838085,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x7000128BF9A0
37617,1838091,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x7000128BF9A0
37618,1838093,getattrlist,"""/Users/vakosta/.gradle\0""",0x7FF80D2E01D4,0x7000128BF9A0
37619,1838098,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x7000128BF9A0
37620,1838102,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x7000128BF9A0
37621,1838171,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x7000128BF9A0
37622,1838176,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x7000128BF9A0
37623,1838178,getattrlist,"""/Users/vakosta/.gradle\0""",0x7FF80D2E01D4,0x7000128BF9A0
37624,1838182,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x7000128BF9A0
37625,1838186,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x7000128BF9A0
64768,1229366,open,"""/Users/vakosta/Library/Application","Support/JetBrains/Idea/consentOptions/cached\0""",0x0
64769,1229443,open,"""/Users/vakosta/Library/Application","Support/JetBrains/consentOptions/accepted\0""",0x0
64778,1229693,open,"""/Users/vakosta/Library/Application","Support/JetBrains/Idea/consentOptions/cached\0""",0x0
64779,1229736,open,"""/Users/vakosta/Library/Application","Support/JetBrains/consentOptions/accepted\0""",0x0
64788,1230104,stat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/tmp/intellij-git-askpass-local.sh\0""",0x70001032F3C0,0x0
64791,1230207,stat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/tmp/intellij-ssh-askpass-local.sh\0""",0x70001032F3B0,0x0
64794,1230571,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata\0""",0x70001032F150,0x0
64795,1230578,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata\0""",0x70001032F150,0x0
64935,1231695,open,"""/Users/vakosta/Library/Application","Support/JetBrains/Idea/consentOptions/cached\0""",0x0
64936,1231775,open,"""/Users/vakosta/Library/Application","Support/JetBrains/consentOptions/accepted\0""",0x0
64942,1232002,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/config\0""",0x70001032F670,0x0
64943,1232032,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/config\0""",0x70001032F670,0x0
64944,1232071,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/config\0""",0x70001032F510,0x0
64945,1232324,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/config\0""",0x70001032F230,0x0
64947,1232360,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/config\0""",0x0,0x0
64961,1232770,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/packed-refs\0""",0x70001032F500,0x0
64962,1232794,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/packed-refs\0""",0x0,0x0
64964,1232811,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/packed-refs\0""",0x70001032F150,0x0
64968,1232910,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/heads\0""",0x70001032F4F0,0x0
64969,1232938,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/heads\0""",0x70001032F360,0x0
64970,1232943,stat64,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/heads\0""",0x70001032F470,0x0
64971,1232964,open_nocancel,"""/Users/vakosta/Developer/IdeaProjects/Comnata/.git/refs/heads\0""",0x1100004,0x0
